id;name;geoid;geoname;value;datetime
805;Hourly average price Day Ahead market component;;;66.88;2019-01-01T00:00:00+01:00
805;Hourly average price Day Ahead market component;;;66.88;2019-01-01T01:00:00+01:00
805;Hourly average price Day Ahead market component;;;66;2019-01-01T02:00:00+01:00
805;Hourly average price Day Ahead market component;;;63.64;2019-01-01T03:00:00+01:00
805;Hourly average price Day Ahead market component;;;58.85;2019-01-01T04:00:00+01:00
805;Hourly average price Day Ahead market component;;;55.47;2019-01-01T05:00:00+01:00
805;Hourly average price Day Ahead market component;;;56;2019-01-01T06:00:00+01:00
805;Hourly average price Day Ahead market component;;;61.09;2019-01-01T07:00:00+01:00
805;Hourly average price Day Ahead market component;;;61.01;2019-01-01T08:00:00+01:00
805;Hourly average price Day Ahead market component;;;61;2019-01-01T09:00:00+01:00
805;Hourly average price Day Ahead market component;;;63;2019-01-01T10:00:00+01:00
805;Hourly average price Day Ahead market component;;;63;2019-01-01T11:00:00+01:00
805;Hourly average price Day Ahead market component;;;64.03;2019-01-01T12:00:00+01:00
805;Hourly average price Day Ahead market component;;;65.88;2019-01-01T13:00:00+01:00
805;Hourly average price Day Ahead market component;;;65.01;2019-01-01T14:00:00+01:00
805;Hourly average price Day Ahead market component;;;60.84;2019-01-01T15:00:00+01:00
805;Hourly average price Day Ahead market component;;;61.09;2019-01-01T16:00:00+01:00
805;Hourly average price Day Ahead market component;;;63.08;2019-01-01T17:00:00+01:00
805;Hourly average price Day Ahead market component;;;66.66;2019-01-01T18:00:00+01:00
805;Hourly average price Day Ahead market component;;;67.06;2019-01-01T19:00:00+01:00
805;Hourly average price Day Ahead market component;;;67.26;2019-01-01T20:00:00+01:00
805;Hourly average price Day Ahead market component;;;68.07;2019-01-01T21:00:00+01:00
805;Hourly average price Day Ahead market component;;;67.08;2019-01-01T22:00:00+01:00
805;Hourly average price Day Ahead market component;;;64.03;2019-01-01T23:00:00+01:00
805;Hourly average price Day Ahead market component;;;61.74;2019-01-02T00:00:00+01:00
805;Hourly average price Day Ahead market component;;;53;2019-01-02T01:00:00+01:00
805;Hourly average price Day Ahead market component;;;48.23;2019-01-02T02:00:00+01:00
805;Hourly average price Day Ahead market component;;;47.23;2019-01-02T03:00:00+01:00
805;Hourly average price Day Ahead market component;;;45.24;2019-01-02T04:00:00+01:00
805;Hourly average price Day Ahead market component;;;45.7;2019-01-02T05:00:00+01:00
805;Hourly average price Day Ahead market component;;;51.1;2019-01-02T06:00:00+01:00
805;Hourly average price Day Ahead market component;;;58.37;2019-01-02T07:00:00+01:00
805;Hourly average price Day Ahead market component;;;63.75;2019-01-02T08:00:00+01:00
805;Hourly average price Day Ahead market component;;;66.1;2019-01-02T09:00:00+01:00
805;Hourly average price Day Ahead market component;;;65.88;2019-01-02T10:00:00+01:00
805;Hourly average price Day Ahead market component;;;63.63;2019-01-02T11:00:00+01:00
805;Hourly average price Day Ahead market component;;;62.8;2019-01-02T12:00:00+01:00
805;Hourly average price Day Ahead market component;;;63.16;2019-01-02T13:00:00+01:00
805;Hourly average price Day Ahead market component;;;61.5;2019-01-02T14:00:00+01:00
805;Hourly average price Day Ahead market component;;;60.69;2019-01-02T15:00:00+01:00
805;Hourly average price Day Ahead market component;;;62.19;2019-01-02T16:00:00+01:00
805;Hourly average price Day Ahead market component;;;67.1;2019-01-02T17:00:00+01:00
805;Hourly average price Day Ahead market component;;;69.3;2019-01-02T18:00:00+01:00
805;Hourly average price Day Ahead market component;;;69.25;2019-01-02T19:00:00+01:00
805;Hourly average price Day Ahead market component;;;68.07;2019-01-02T20:00:00+01:00
